date,revenue,revenue_original
2010-12-01,46376.49,46376.49
2010-12-02,47316.53,47316.53
2010-12-03,23921.71,23921.71
2010-12-04,0.0,0.0
2010-12-05,31771.6,31771.6
2010-12-06,31215.64,31215.64
2010-12-07,53795.31,53795.31
2010-12-08,39248.82,39248.82
2010-12-09,38231.9,38231.9
2010-12-10,33650.28,33650.28
2010-12-11,0.0,0.0
2010-12-12,17305.77,17305.77
2010-12-13,27642.68,27642.68
2010-12-14,29322.3,29322.3
2010-12-15,30311.72,30311.72
2010-12-16,49030.08,49030.08
2010-12-17,20046.56,20046.56
2010-12-18,0.0,0.0
2010-12-19,7417.39,7417.39
2010-12-20,19621.96,19621.96
2010-12-21,15951.66,15951.66
2010-12-22,4886.52,4886.52
2010-12-23,5648.97,5648.97
2010-12-24,0.0,0.0
2010-12-25,0.0,0.0
2010-12-26,0.0,0.0
2010-12-27,0.0,0.0
2010-12-28,0.0,0.0
2010-12-29,0.0,0.0
2010-12-30,0.0,0.0
2010-12-31,0.0,0.0
2011-01-01,0.0,0.0
2011-01-02,0.0,0.0
2011-01-03,0.0,0.0
2011-01-04,12125.460000000001,12125.460000000001
2011-01-05,28803.63,28803.63
2011-01-06,34360.19,34360.19
2011-01-07,23797.79,23797.79
2011-01-08,0.0,0.0
2011-01-09,15778.2,15778.2
2011-01-10,15346.83,15346.83
2011-01-11,60268.78,60268.78
2011-01-12,17153.94,17153.94
2011-01-13,15171.31,15171.31
2011-01-14,39532.02,39532.02
2011-01-15,0.0,0.0
2011-01-16,7242.06,7242.06
2011-01-17,16597.35,16597.35
2011-01-18,87589.11,87589.11
2011-01-19,21646.78,21646.78
2011-01-20,15244.73,15244.73
2011-01-21,24279.76,24279.76
2011-01-22,0.0,0.0
2011-01-23,10400.25,10400.25
2011-01-24,17632.37,17632.37
2011-01-25,24119.3,24119.3
2011-01-26,17490.82,17490.82
2011-01-27,22157.03,22157.03
2011-01-28,17273.5,17273.5
2011-01-29,0.0,0.0
2011-01-30,6615.75,6615.75
2011-01-31,18818.08,18818.08
2011-02-01,26376.5,26376.5
2011-02-02,17145.23,17145.23
2011-02-03,22184.0,22184.0
2011-02-04,18114.31,18114.31
2011-02-05,0.0,0.0
2011-02-06,3457.11,3457.11
2011-02-07,23415.01,23415.01
2011-02-08,14168.03,14168.03
2011-02-09,11920.78,11920.78
2011-02-10,14198.51,14198.51
2011-02-11,18599.46,18599.46
2011-02-12,0.0,0.0
2011-02-13,5713.63,5713.63
2011-02-14,23003.99,23003.99
2011-02-15,37784.65,37784.65
2011-02-16,23499.22,23499.22
2011-02-17,17674.79,17674.79
2011-02-18,14463.06,14463.06
2011-02-19,0.0,0.0
2011-02-20,9624.69,9624.69
2011-02-21,32801.73,32801.73
2011-02-22,29160.48,29160.48
2011-02-23,19348.07,19348.07
2011-02-24,21472.89,21472.89
2011-02-25,18377.69,18377.69
2011-02-26,0.0,0.0
2011-02-27,9526.5,9526.5
2011-02-28,15107.02,15107.02
2011-03-01,23631.87,23631.87
2011-03-02,18686.99,18686.99
2011-03-03,32855.05,32855.05
2011-03-04,17322.47,17322.47
2011-03-05,0.0,0.0
2011-03-06,9997.42,9997.42
2011-03-07,20285.68,20285.68
2011-03-08,22230.61,22230.61
2011-03-09,20345.87,20345.87
2011-03-10,24431.72,24431.72
2011-03-11,20896.0,20896.0
2011-03-12,0.0,0.0
2011-03-13,4148.12,4148.12
2011-03-14,26009.25,26009.25
2011-03-15,14936.43,14936.43
2011-03-16,21820.66,21820.66
2011-03-17,32028.94,32028.94
2011-03-18,23398.74,23398.74
2011-03-19,0.0,0.0
2011-03-20,20084.8,20084.8
2011-03-21,16051.05,16051.05
2011-03-22,19064.29,19064.29
2011-03-23,21578.8,21578.8
2011-03-24,36697.14,36697.14
2011-03-25,27302.75,27302.75
2011-03-26,0.0,0.0
2011-03-27,9224.4,9224.4
2011-03-28,20005.16,20005.16
2011-03-29,37190.52,37190.52
2011-03-30,29587.420000000002,29587.420000000002
2011-03-31,25688.61,25688.61
2011-04-01,29504.183999999997,24586.82
2011-04-02,0.0,0.0
2011-04-03,8302.199999999999,6918.5
2011-04-04,34821.324,29017.77
2011-04-05,34511.244,28759.37
2011-04-06,15266.784,12722.32
2011-04-07,20193.324,16827.77
2011-04-08,27264.852,22720.71
2011-04-09,0.0,0.0
2011-04-10,11896.776,9913.98
2011-04-11,24220.967999999997,20184.14
2011-04-12,28828.751999999997,24023.96
2011-04-13,29381.304,24484.420000000002
2011-04-14,42843.24,35702.7
2011-04-15,21625.7772,18021.481
2011-04-16,0.0,0.0
2011-04-17,15270.599999999999,12725.5
2011-04-18,52456.272,43713.56
2011-04-19,22623.648,18853.04
2011-04-20,30862.739999999998,25718.95
2011-04-21,33365.364,27804.47
2011-04-22,0.0,0.0
2011-04-23,0.0,0.0
2011-04-24,0.0,0.0
2011-04-25,0.0,0.0
2011-04-26,25901.291999999998,21584.41
2011-04-27,28311.84,23593.2
2011-04-28,25587.948,21323.29
2011-04-29,0.0,0.0
2011-04-30,0.0,0.0
2011-05-01,8368.392,6973.66
2011-05-02,0.0,0.0
2011-05-03,34692.492,28910.41
2011-05-04,33038.4,27532.0
2011-05-05,30279.203999999998,25232.67
2011-05-06,36944.04,30786.7
2011-05-07,0.0,0.0
2011-05-08,22640.88,18867.4
2011-05-09,25949.291999999998,21624.41
2011-05-10,35844.84,29870.7
2011-05-11,38265.24,31887.7
2011-05-12,71881.87199999999,59901.56
2011-05-13,31062.996,25885.83
2011-05-14,0.0,0.0
2011-05-15,11616.06,9680.05
2011-05-16,42848.03999999999,35706.7
2011-05-17,55687.308000000005,46406.090000000004
2011-05-18,39459.444,32882.87
2011-05-19,37864.212,31553.51
2011-05-20,30587.591999999997,25489.66
2011-05-21,0.0,0.0
2011-05-22,29077.308,24231.09
2011-05-23,37568.988,31307.49
2011-05-24,38954.975999999995,32462.48
2011-05-25,26261.916,21884.93
2011-05-26,39317.256,32764.38
2011-05-27,25395.984,21163.32
2011-05-28,0.0,0.0
2011-05-29,8873.16,7394.3
2011-05-30,0.0,0.0
2011-05-31,21833.58,18194.65
2011-06-01,18469.068,15390.89
2011-06-02,33725.472,28104.56
2011-06-03,18050.712,15042.26
2011-06-04,0.0,0.0
2011-06-05,30767.448,25639.54
2011-06-06,19549.176,16290.98
2011-06-07,40689.912000000004,33908.26
2011-06-08,36230.556,30192.13
2011-06-09,51492.456,42910.38
2011-06-10,69894.144,58245.12
2011-06-11,0.0,0.0
2011-06-12,14966.652,12472.210000000001
2011-06-13,23662.932,19719.11
2011-06-14,40001.364,33334.47
2011-06-15,54093.048,45077.54
2011-06-16,38769.324,32307.77
2011-06-17,22871.075999999997,19059.23
2011-06-18,0.0,0.0
2011-06-19,26930.615999999998,22442.18
2011-06-20,31364.075999999997,26136.73
2011-06-21,23820.791999999998,19850.66
2011-06-22,25404.503999999997,21170.42
2011-06-23,27068.172000000002,22556.81
2011-06-24,19226.052,16021.710000000001
2011-06-25,0.0,0.0
2011-06-26,8498.988,7082.49
2011-06-27,16094.64,13412.2
2011-06-28,36638.844,30532.37
2011-06-29,15084.755999999998,12570.63
2011-06-30,50091.648,41743.04
2011-07-01,14627.148000000001,12189.29
2011-07-02,0.0,0.0
2011-07-03,7238.868,6032.39
2011-07-04,37182.204,30985.170000000002
2011-07-05,31190.712,25992.260000000002
2011-07-06,27552.575999999997,22960.48
2011-07-07,33472.392,27893.66
2011-07-08,21069.96,17558.3
2011-07-09,0.0,0.0
2011-07-10,7192.643999999999,5993.87
2011-07-11,24096.035999999996,20080.03
2011-07-12,21537.827999999998,17948.19
2011-07-13,23319.42,19432.85
2011-07-14,38425.092,32020.91
2011-07-15,14228.759999999998,11857.3
2011-07-16,0.0,0.0
2011-07-17,20350.319999999996,16958.6
2011-07-18,26422.032,22018.36
2011-07-19,55918.896,46599.08
2011-07-20,32492.364,27076.97
2011-07-21,36473.651999999995,30394.71
2011-07-22,17560.524,14633.77
2011-07-23,0.0,0.0
2011-07-24,32156.304,26796.920000000002
2011-07-25,23624.772,19687.31
2011-07-26,20751.6012,17293.001
2011-07-27,27426.384,22855.32
2011-07-28,65038.044,54198.37
2011-07-29,20688.732,17240.61
2011-07-30,0.0,0.0
2011-07-31,40071.948,33393.29
2011-08-01,23770.08,19808.4
2011-08-02,24332.46,20277.05
2011-08-03,31941.324,26617.77
2011-08-04,74495.53199999999,62079.61
2011-08-05,23790.48,19825.4
2011-08-06,0.0,0.0
2011-08-07,9092.351999999999,7576.96
2011-08-08,23710.343999999997,19758.62
2011-08-09,31148.543999999998,25957.12
2011-08-10,23833.872,19861.56
2011-08-11,65263.403999999995,54386.17
2011-08-12,21564.204,17970.170000000002
2011-08-13,0.0,0.0
2011-08-14,6862.284,5718.57
2011-08-15,20692.764,17243.97
2011-08-16,19293.408,16077.84
2011-08-17,58523.568,48769.64
2011-08-18,64899.371999999996,54082.81
2011-08-19,20807.507999999998,17339.59
2011-08-20,0.0,0.0
2011-08-21,17480.208,14566.84
2011-08-22,35547.816,29623.18
2011-08-23,26878.932,22399.11
2011-08-24,46340.412000000004,38617.01
2011-08-25,26994.348,22495.29
2011-08-26,28933.967999999997,24111.64
2011-08-27,0.0,0.0
2011-08-28,12966.036,10805.03
2011-08-29,0.0,0.0
2011-08-30,10600.452000000001,8833.710000000001
2011-08-31,24649.007999999998,20540.84
2011-09-01,44844.18,37370.15
2011-09-02,36356.46,30297.05
2011-09-03,0.0,0.0
2011-09-04,20406.035999999996,17005.03
2011-09-05,42838.439999999995,35698.7
2011-09-06,30594.983999999997,25495.82
2011-09-07,26360.904000000002,21967.420000000002
2011-09-08,27825.96,23188.3
2011-09-09,30170.58,25142.15
2011-09-10,0.0,0.0
2011-09-11,42614.00399999999,35511.67
2011-09-12,33587.28,27989.4
2011-09-13,57794.7,48162.25
2011-09-14,26433.54,22027.95
2011-09-15,86392.404,71993.67
2011-09-16,27898.775999999998,23248.98
2011-09-17,0.0,0.0
2011-09-18,18894.876,15745.73
2011-09-19,55928.664,46607.22
2011-09-20,124122.972,103435.81
2011-09-21,46203.672,38503.06
2011-09-22,69443.232,57869.36
2011-09-23,38137.32,31781.1
2011-09-24,0.0,0.0
2011-09-25,37647.1932,31372.661
2011-09-26,35195.809199999996,29329.841
2011-09-27,35129.231999999996,29274.36
2011-09-28,46869.468,39057.89
2011-09-29,53675.244,44729.37
2011-09-30,48040.128000000004,40033.44
2011-10-01,0.0,0.0
2011-10-02,13899.54,11582.95
2011-10-03,74731.14,62275.95
2011-10-04,46428.24,38690.2
2011-10-05,88930.116,74108.43
2011-10-06,72465.36,60387.8
2011-10-07,59025.204,49187.67
2011-10-08,0.0,0.0
2011-10-09,14960.171999999999,12466.81
2011-10-10,51696.384,43080.32
2011-10-11,55724.123999999996,46436.77
2011-10-12,33277.644,27731.37
2011-10-13,39647.015999999996,33039.18
2011-10-14,38549.616,32124.68
2011-10-15,0.0,0.0
2011-10-16,26413.152,22010.96
2011-10-17,56406.28799999999,47005.24
2011-10-18,44762.88,37302.4
2011-10-19,44800.223999999995,37333.52
2011-10-20,73276.87199999999,61064.06
2011-10-21,72500.712,60417.26
2011-10-22,0.0,0.0
2011-10-23,14806.991999999998,12339.16
2011-10-24,47178.335999999996,39315.28
2011-10-25,43483.13999999999,36235.95
2011-10-26,41322.384,34435.32
2011-10-27,67004.568,55837.14
2011-10-28,44748.684,37290.57
2011-10-29,0.0,0.0
2011-10-30,41485.476,34571.23
2011-10-31,39658.284,33048.57
2011-11-01,34959.372,29132.81
2011-11-02,46481.63999999999,38734.7
2011-11-03,72806.53199999999,60672.11
2011-11-04,67319.08799999999,56099.24
2011-11-05,0.0,0.0
2011-11-06,51529.608,42941.340000000004
2011-11-07,34535.088,28779.24
2011-11-08,45954.144,38295.12
2011-11-09,73787.016,61489.18
2011-11-10,84615.94799999999,70513.29
2011-11-11,44497.644,37081.37
2011-11-12,0.0,0.0
2011-11-13,34329.335999999996,28607.78
2011-11-14,70533.252,58777.71
2011-11-15,57274.799999999996,47729.0
2011-11-16,58127.712,48439.76
2011-11-17,67062.36,55885.3
2011-11-18,44101.5,36751.25
2011-11-19,0.0,0.0
2011-11-20,36229.104,30190.920000000002
2011-11-21,54399.755999999994,45333.13
2011-11-22,59597.867999999995,49664.89
2011-11-23,86375.91599999998,71979.93
2011-11-24,46294.932,38579.11
2011-11-25,32009.591999999997,26674.66
2011-11-26,0.0,0.0
2011-11-27,20761.152,17300.96
2011-11-28,62198.00399999999,51831.67
2011-11-29,58622.015999999996,48851.68
2011-11-30,49777.476,41481.23
2011-12-01,53440.78799999999,44533.99
2011-12-02,53656.428,44713.69
2011-12-03,0.0,0.0
2011-12-04,24451.152,20375.96
2011-12-05,69842.652,58202.21
2011-12-06,55372.848,46144.04
2011-12-07,83225.05200000001,69354.21
2011-12-08,60623.292,50519.41
2011-12-09,221219.136,184349.28
